"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"239","YT","tg_mean","MRI-CGCM3","rcp45","2071-2100",2.39555075613257,0.198283577799145
"240","YT","tg_mean","MRI-CGCM3","rcp45","2041-2070",1.72419002622701,0.0914689549093542
"241","YT","tg_mean","NorESM1-ME","rcp45","2071-2100",4.24504483831323,0.674574504733585
"242","YT","tg_mean","NorESM1-ME","rcp45","2041-2070",3.63157888179016,0.535893613278116
"243","YT","tg_mean","NorESM1-M","rcp45","2071-2100",4.00163298241725,0.641575546490056
"244","YT","tg_mean","NorESM1-M","rcp45","2041-2070",3.47379418277838,0.425397245576426
"245","YT","tg_mean","bcc-csm1-1-m","rcp45","2071-2100",3.01319126736537,0.232480030620563
"246","YT","tg_mean","bcc-csm1-1-m","rcp45","2041-2070",2.12177931209737,0.164507302016293
"247","YT","tg_mean","bcc-csm1-1","rcp45","2071-2100",3.46757855108074,0.0636458237182946
"248","YT","tg_mean","bcc-csm1-1","rcp45","2041-2070",2.57894439775302,0.116269915659833
"249","YT","tg_mean","ACCESS1-0","rcp45","2071-2100",4.67716763428442,0.974319972559868
"250","YT","tg_mean","ACCESS1-0","rcp45","2041-2070",3.68268717347336,0.785121112165813
"251","YT","tg_mean","BNU-ESM","rcp85","2071-2100",9.64765052977496,0.708904375495493
"252","YT","tg_mean","BNU-ESM","rcp85","2041-2070",6.58974534758845,0.550513879689774
"253","YT","tg_mean","CCSM4","rcp85","2071-2100",6.52256842013963,0.737850296405172
"254","YT","tg_mean","CCSM4","rcp85","2041-2070",3.99991797295358,0.535940296598975
"255","YT","tg_mean","CESM1-CAM5","rcp85","2071-2100",6.38289850171906,1.18875912997661
"256","YT","tg_mean","CESM1-CAM5","rcp85","2041-2070",3.97653127098669,0.884851393610969
"257","YT","tg_mean","CNRM-CM5","rcp85","2071-2100",6.09355559350686,1.00280042996961
"258","YT","tg_mean","CNRM-CM5","rcp85","2041-2070",3.54597253210911,0.699488091546885
"259","YT","tg_mean","CSIRO-Mk3-6-0","rcp85","2071-2100",6.27500640707865,0.834991349625846
"260","YT","tg_mean","CSIRO-Mk3-6-0","rcp85","2041-2070",3.90383157687833,0.5712803253936
